source,title,author,detail_link
project_gutenberg,"Astounding Stories,  August, 1931",Various,https://www.gutenberg.org/ebooks/33016
project_gutenberg,The Lost Continent,Edgar Rice Burroughs,https://www.gutenberg.org/ebooks/149
project_gutenberg,The Enchanted Island of Yew,L. Frank Baum,https://www.gutenberg.org/ebooks/21164
project_gutenberg,The Book of the Thousand Nights and a Night — Volume 01 (of 10),,https://www.gutenberg.org/ebooks/51252
project_gutenberg,"Golden Days for Boys and Girls, Volume VIII, No 25: May 21, 1887",Various,https://www.gutenberg.org/ebooks/27287
project_gutenberg,Astounding Stories of Super-Science January 1930,,https://www.gutenberg.org/ebooks/41481
project_gutenberg,The Kipling Reader,Rudyard Kipling,https://www.gutenberg.org/ebooks/16578
project_gutenberg,Shadows in Zamboula,Robert E. Howard,https://www.gutenberg.org/ebooks/42196
project_gutenberg,The Headless Horseman: A Strange Tale of Texas,Mayne Reid,https://www.gutenberg.org/ebooks/35587
project_gutenberg,The adventures of Twinkly Eyes the little Black Bear,Allen Chaffee,https://www.gutenberg.org/ebooks/77049
project_gutenberg,"Love of Life, and Other Stories",Jack London,https://www.gutenberg.org/ebooks/710
project_gutenberg,The Revolt on Venus,Carey Rockwell,https://www.gutenberg.org/ebooks/19027
project_gutenberg,The Life and Adventures of Santa Claus,L. Frank Baum,https://www.gutenberg.org/ebooks/21192
project_gutenberg,The Coming Race,Baron Edward Bulwer Lytton Lytton,https://www.gutenberg.org/ebooks/1951
project_gutenberg,The Book of the Thousand Nights and a Night — Volume 04 (of 10),,https://www.gutenberg.org/ebooks/3438
project_gutenberg,The Man in the Iron Mask,Alexandre Dumas,https://www.gutenberg.org/ebooks/2759
project_gutenberg,Plague Ship,Andre Norton,https://www.gutenberg.org/ebooks/16921
project_gutenberg,The People of the Black Circle,Robert E. Howard,https://www.gutenberg.org/ebooks/42259
project_gutenberg,My Father's Dragon,Ruth Stiles Gannett,https://www.gutenberg.org/ebooks/30017
project_gutenberg,The Colors of Space,Marion Zimmer Bradley,https://www.gutenberg.org/ebooks/20796
project_gutenberg,The Trail of '98: A Northland Romance,Robert W. Service,https://www.gutenberg.org/ebooks/22063
project_gutenberg,Shadows in the Moonlight,Robert E. Howard,https://www.gutenberg.org/ebooks/42188
project_gutenberg,Two Years Before the Mast,Richard Henry Dana,https://www.gutenberg.org/ebooks/2055
project_gutenberg,Out of Time's Abyss,Edgar Rice Burroughs,https://www.gutenberg.org/ebooks/553
project_gutenberg,"The Card, a Story of Adventure in the Five Towns",Arnold Bennett,https://www.gutenberg.org/ebooks/20600
project_gutenberg,Alice's Adventures Under Ground,Lewis Carroll,https://www.gutenberg.org/ebooks/19002
project_gutenberg,The history and adventures of the renowned Don Quixote,Miguel de Cervantes Saavedra,https://www.gutenberg.org/ebooks/77095
project_gutenberg,"The Three Impostors; or, The Transmutations",Arthur Machen,https://www.gutenberg.org/ebooks/35517
project_gutenberg,Strange True Stories of Louisiana,George Washington Cable,https://www.gutenberg.org/ebooks/12577
project_gutenberg,A Set of Six,Joseph Conrad,https://www.gutenberg.org/ebooks/2305
project_gutenberg,Jewels of Gwahlur,Robert E. Howard,https://www.gutenberg.org/ebooks/42236
project_gutenberg,The Story of King Arthur and his Knights,Howard Pyle,https://www.gutenberg.org/ebooks/60184
project_gutenberg,The Adventures of Sally,P. G. Wodehouse,https://www.gutenberg.org/ebooks/7464
project_gutenberg,"Howard Pyle's Book of pirates : fiction, fact & fancy concerning the buccaneers & marooners of the Spanish Main",Howard Pyle,https://www.gutenberg.org/ebooks/26862
project_gutenberg,Wunderbare Reise des kleinen Nils Holgersson mit den Wildgänsen: Ein Kinderbuch (German),Selma Lagerlöf,https://www.gutenberg.org/ebooks/31114
project_gutenberg,Rob Roy — Complete,Walter Scott,https://www.gutenberg.org/ebooks/7025
project_gutenberg,"The Female Quixote; or, The Adventures of Arabella, v. 1-2",Charlotte Lennox,https://www.gutenberg.org/ebooks/50054
project_gutenberg,Fifty-Two Stories For Girls,,https://www.gutenberg.org/ebooks/25948
project_gutenberg,Dick o' the Fens: A Tale of the Great East Swamp,George Manville Fenn,https://www.gutenberg.org/ebooks/21306
project_gutenberg,The Olive Fairy Book,,https://www.gutenberg.org/ebooks/27826
project_gutenberg,"Astounding Stories, May, 1931",Various,https://www.gutenberg.org/ebooks/30532
project_gutenberg,The Deerslayer,James Fenimore Cooper,https://www.gutenberg.org/ebooks/3285
project_gutenberg,Cargoes for Crusoes,Grant M. Overton,https://www.gutenberg.org/ebooks/68092
project_gutenberg,"Astounding Stories of Super-Science, December 1930",Various,https://www.gutenberg.org/ebooks/30691
project_gutenberg,The Blue Bird for Children,Maurice Maeterlinck and Georgette Leblanc,https://www.gutenberg.org/ebooks/27991
project_gutenberg,"The Collected Works of Ambrose Bierce, Volume 02",Ambrose Bierce,https://www.gutenberg.org/ebooks/13334
project_gutenberg,Triplanetary,E. E. Smith,https://www.gutenberg.org/ebooks/20782
project_gutenberg,"Astounding Stories, June, 1931",Various,https://www.gutenberg.org/ebooks/31893
project_gutenberg,Moby Dick,Herman Melville,https://www.gutenberg.org/ebooks/9147
project_gutenberg,The Ultimate Weapon,Jr. John W. Campbell,https://www.gutenberg.org/ebooks/23790
project_gutenberg,"The Pioneers; Or, The Sources of the Susquehanna",James Fenimore Cooper,https://www.gutenberg.org/ebooks/2275
project_gutenberg,Travels and Adventures of Little Baron Trump and His Wonderful Dog Bulger,Ingersoll Lockwood,https://www.gutenberg.org/ebooks/58566
project_gutenberg,Young Adventure: A Book of Poems,Stephen Vincent Benét,https://www.gutenberg.org/ebooks/312
project_gutenberg,The Argonauts of California: being the reminiscenses of scenes and incidents that occurred in California in the early mining days,Charles Warren Haskins,https://www.gutenberg.org/ebooks/75021
project_gutenberg,The White Company,Arthur Conan Doyle,https://www.gutenberg.org/ebooks/903
